Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
349,Delon Wright,32,2TM,PG,29,2,418,2,7.2,0.274,1,4.3,0.24,0.9,2.9,0.324,0.345,0.9,1.7,0.55,1.3,2.8,4,4.3,2.1,0.9,1.2,1.5,5.9,NA
349,Delon Wright,32,MIL,PG,26,2,405,2,7.3,0.268,1.1,4.4,0.245,0.9,2.9,0.303,0.341,0.8,1.4,0.563,1.3,2.8,4.1,4.3,2,0.8,1.2,1.5,5.8,NA
349,Delon Wright,32,NYK,PG,3,0,13,2.8,5.5,0.5,0,2.8,0,2.8,2.8,1,0.5,5.5,11.1,0.5,0,2.8,2.8,5.5,2.8,2.8,0,0,11.1,NA
350,Karlo Matković,23,NOP,PF,25,3,414,4.4,9,0.495,0.9,2.9,0.303,3.6,6.1,0.586,0.544,1.7,2.1,0.792,3.2,5.8,9,2.1,1,2.3,2.1,4.9,11.4,NA
351,John Konchar,28,MEM,SG,32,4,410,2.6,6.3,0.417,1.4,4.4,0.32,1.2,1.9,0.636,0.528,0.4,0.5,0.833,2.4,7.2,9.6,2.7,1.4,1.1,1.1,2.2,7.1,NA
352,Richaun Holmes,31,WAS,PF,23,7,410,5.8,8.3,0.695,0,0.3,0,5.8,8.1,0.717,0.695,3.4,4.1,0.83,3.4,7.8,11.2,2.8,0.4,1.6,1.6,3.2,15,NA
353,Jordan Miller,25,LAC,SF,33,0,404,5,11.6,0.431,0.7,3.3,0.216,4.3,8.3,0.516,0.462,2.3,2.9,0.788,2,3.1,5.2,2.9,1.5,0.4,2.1,2.1,13,NA
354,Zeke Nnaji,24,DEN,PF,41,3,392,4.9,9,0.541,1,3.2,0.314,3.9,5.8,0.667,0.597,1.2,2.1,0.565,1.9,3.8,5.7,1,1.3,2.2,0.6,4,11.9,NA
355,Quinten Post,24,GSW,PF,25,8,389,7,15,0.469,3.9,9.1,0.429,3.1,5.9,0.531,0.599,1.3,1.6,0.824,2.4,6.6,9,3.5,0.8,0.9,1.9,4.3,19.2,NA
356,Kessler Edwards,24,DAL,SF,32,10,384,3.3,7.3,0.449,0.8,3,0.281,2.4,4.3,0.565,0.506,0.3,0.3,1,1.5,5.6,7.1,3,1.2,1.2,0.9,3.7,7.7,NA
